mean_concordance,std_concordance,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.5267704056520188,0.12569539061084356,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 500, 'lr': 0.01, 'num_nodes_layer1': 64, 'num_nodes_layer2': 64}",0.5848375451263538,0.28095238095238095,0.5433526011560693,0.6240601503759399,0.6006493506493507
0.4766382629944479,0.14798732314360086,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 500, 'lr': 0.01, 'num_nodes_layer1': 128, 'num_nodes_layer2': 32}",0.5703971119133574,0.2785714285714286,0.6242774566473989,0.3157894736842105,0.5941558441558441
0.4536258735035779,0.10282360065742424,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 500, 'lr': 0.01, 'num_nodes_layer1': 128, 'num_nodes_layer2': 64}",0.30685920577617326,0.36428571428571427,0.5260115606936416,0.5839598997493735,0.487012987012987
0.5266348346379626,0.09586343040015231,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 500, 'lr': 0.001, 'num_nodes_layer1': 64, 'num_nodes_layer2': 32}",0.48375451263537905,0.5214285714285715,0.7109826589595376,0.47869674185463656,0.4383116883116883
0.5267238790979509,0.07865684158115295,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 500, 'lr': 0.001, 'num_nodes_layer1': 64, 'num_nodes_layer2': 64}",0.44765342960288806,0.4261904761904762,0.5375722543352601,0.6215538847117794,0.6006493506493507
0.5738961829641116,0.086367727102784,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 500, 'lr': 0.001, 'num_nodes_layer1': 128, 'num_nodes_layer2': 32}",0.48375451263537905,0.5095238095238095,0.6820809248554913,0.518796992481203,0.6753246753246753
0.5318011394056508,0.07985827636862117,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 500, 'lr': 0.001, 'num_nodes_layer1': 128, 'num_nodes_layer2': 64}",0.6137184115523465,0.4642857142857143,0.41040462427745666,0.5764411027568922,0.5941558441558441
0.5494564475750178,0.12458410945678103,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 500, 'lr': 0.0001, 'num_nodes_layer1': 64, 'num_nodes_layer2': 32}",0.47653429602888087,0.4666666666666667,0.7283236994219653,0.6666666666666666,0.4090909090909091
0.5356440453191575,0.08848427329571489,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 500, 'lr': 0.0001, 'num_nodes_layer1': 64, 'num_nodes_layer2': 64}",0.49458483754512633,0.5666666666666667,0.4277456647398844,0.6892230576441103,0.5
0.6040243860094623,0.0371409526270774,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 500, 'lr': 0.0001, 'num_nodes_layer1': 128, 'num_nodes_layer2': 32}",0.5992779783393501,0.6142857142857143,0.5895953757225434,0.5513784461152882,0.6655844155844156
0.5336587424024642,0.10800130865587441,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 500, 'lr': 0.0001, 'num_nodes_layer1': 128, 'num_nodes_layer2': 64}",0.5415162454873647,0.5833333333333334,0.3699421965317919,0.47869674185463656,0.6948051948051948
0.4624661017787644,0.08518608914082766,"{'batch_size': 64, 'dropout': 0.5, 'epochs': 200, 'lr': 0.01, 'num_nodes_layer1': 64, 'num_nodes_layer2': 32}",0.34296028880866425,0.45,0.41040462427745666,0.5213032581453634,0.5876623376623377
0.5195013284399984,0.0691726019163102,"{'batch_size': 64, 'dropout': 0.5, 'epochs': 200, 'lr': 0.01, 'num_nodes_layer1': 64, 'num_nodes_layer2': 64}",0.4187725631768953,0.5238095238095238,0.6127167630057804,0.5714285714285714,0.4707792207792208
0.49401855627722985,0.06754384896856916,"{'batch_size': 64, 'dropout': 0.5, 'epochs': 200, 'lr': 0.01, 'num_nodes_layer1': 128, 'num_nodes_layer2': 32}",0.5234657039711191,0.5738095238095238,0.37572254335260113,0.5263157894736842,0.4707792207792208
0.5146554553081304,0.08418575594090262,"{'batch_size': 64, 'dropout': 0.5, 'epochs': 200, 'lr': 0.01, 'num_nodes_layer1': 128, 'num_nodes_layer2': 64}",0.5379061371841155,0.5642857142857143,0.6069364161849711,0.5037593984962406,0.36038961038961037
0.4782912020904154,0.100563044246883,"{'batch_size': 64, 'dropout': 0.5, 'epochs': 200, 'lr': 0.001, 'num_nodes_layer1': 64, 'num_nodes_layer2': 32}",0.30685920577617326,0.6095238095238096,0.4624277456647399,0.47368421052631576,0.538961038961039
0.449597313150233,0.11878538568129993,"{'batch_size': 64, 'dropout': 0.5, 'epochs': 200, 'lr': 0.001, 'num_nodes_layer1': 64, 'num_nodes_layer2': 64}",0.5126353790613718,0.43333333333333335,0.36416184971098264,0.2982456140350877,0.6396103896103896
0.47756485132559134,0.13674765003649234,"{'batch_size': 64, 'dropout': 0.5, 'epochs': 200, 'lr': 0.001, 'num_nodes_layer1': 128, 'num_nodes_layer2': 32}",0.48736462093862815,0.6976190476190476,0.2658959537572254,0.46616541353383456,0.4707792207792208
0.5973287976633944,0.09933576908417208,"{'batch_size': 64, 'dropout': 0.5, 'epochs': 200, 'lr': 0.001, 'num_nodes_layer1': 128, 'num_nodes_layer2': 64}",0.6642599277978339,0.42857142857142855,0.6358381502890174,0.7092731829573935,0.5487012987012987
