feature,mean_abs_shap
hsa-mir-6777,0.013930471443413837
hsa-mir-3945,0.013928359177977266
hsa-mir-4423,0.013926317775100248
hsa-mir-1225,0.013924904330899322
hsa-mir-614,0.013910384871115893
hsa-mir-6718,0.01390413790314597
hsa-mir-4645,0.013899039822355339
hsa-mir-383,0.013898378539452087
hsa-mir-4427,0.013888410474933532
hsa-mir-891a,0.013883786246985188
hsa-mir-940,0.013883084285108819
hsa-mir-6826,0.013880987911562101
hsa-mir-605,0.013878418870364775
hsa-mir-6774,0.013875724657346883
hsa-mir-3156-2,0.013868877710823348
hsa-mir-188,0.013866090898022645
hsa-mir-320c-2,0.013865182981935476
hsa-mir-1249,0.01386463396242371
hsa-mir-1293,0.013858802475202254
hsa-mir-6825,0.013855632320012108
hsa-mir-6815,0.013842062883431058
hsa-mir-6848,0.013838620152671687
hsa-mir-378c,0.013833423975375713
hsa-mir-1254-2,0.013823871594937923
hsa-mir-4802,0.013820322782423606
hsa-mir-4790,0.013813831818320816
hsa-mir-760,0.013809261756163501
hsa-mir-514a-3,0.013800246116126322
hsa-mir-483,0.013799561774402417
hsa-mir-3944,0.013791348568535266
hsa-mir-7641-1,0.013787773519611888
hsa-mir-4771-2,0.013777852832807027
hsa-mir-4638,0.013768737663088386
hsa-mir-4782,0.01376780565778071
hsa-mir-4775,0.013760819445389828
hsa-mir-376a-2,0.013749459173307457
hsa-mir-489,0.013749429109393327
hsa-mir-6851,0.013743618256000137
hsa-mir-548aw,0.013735879196488564
hsa-mir-4451,0.013729557212992866
hsa-mir-6738,0.01371957692322243
hsa-mir-548d-1,0.013716799188703716
hsa-mir-548f-1,0.013715383167161137
hsa-mir-3679,0.01370680380483511
hsa-mir-668,0.013697479761126362
hsa-mir-3650,0.01369571858257971
hsa-mir-3202-2,0.013691930969261636
hsa-mir-4484,0.013691888197773538
hsa-mir-320c-1,0.01368580374918556
hsa-mir-5188,0.01368562063619767
hsa-mir-1284,0.013675680604233515
hsa-mir-559,0.013672442984076855
hsa-mir-6743,0.013669205093260051
hsa-mir-4697,0.013668451819319066
hsa-mir-1231,0.013664061539825483
hsa-mir-5699,0.013661674425225265
hsa-mir-3156-3,0.013655262418547897
hsa-mir-3618,0.01363975778263035
hsa-mir-4636,0.013632005071463355
hsa-mir-545,0.013631481570053906
hsa-mir-129-1,0.01363106482074152
hsa-mir-6715b,0.013618700097406932
hsa-mir-153-1,0.0136109008511958
hsa-mir-934,0.01359242394726798
hsa-mir-4517,0.01358490594668004
hsa-mir-544b,0.013580242028525428
hsa-mir-6885,0.013575373632122282
hsa-mir-3166,0.013572263702032237
hsa-mir-1278,0.013570485429679681
hsa-mir-5580,0.013569002028191722
hsa-mir-211,0.01356441665926606
hsa-mir-6780a,0.013563116587497578
hsa-mir-7974,0.013562810689111563
hsa-mir-4746,0.013557849110086072
hsa-mir-4641,0.013554209431421478
hsa-mir-31,0.013550594529905072
hsa-mir-6895,0.013550095872306581
hsa-mir-6811,0.013548845781333314
hsa-mir-550a-1,0.013538545062137673
hsa-mir-4709,0.013534640939045075
hsa-mir-3690-1,0.013533391981927025
hsa-mir-3173,0.013532454524272267
hsa-mir-6797,0.013529791038701297
hsa-mir-4446,0.013527281304220677
hsa-mir-6827,0.01351590101426593
hsa-mir-6756,0.013515268782674459
hsa-mir-6889,0.013508679620265314
hsa-mir-6883,0.013501426563391362
hsa-mir-6779,0.013490418861821264
hsa-mir-486-2,0.013487416476047408
hsa-mir-4523,0.013478469789086874
hsa-mir-765,0.013470317188449104
hsa-mir-488,0.013469385197888163
hsa-mir-5094,0.013468993709737363
hsa-mir-1305,0.013468587924447918
hsa-mir-6840,0.01346654555552463
hsa-mir-549a,0.013461963054089521
hsa-mir-4789,0.013461633996517406
hsa-mir-3610,0.013457189422601138
hsa-mir-1257,0.013456343603168342
hsa-mir-6769a,0.013454983281358517
hsa-mir-4254,0.01344516211792565
hsa-mir-6783,0.013444465042485313
hsa-mir-550a-2,0.01344133541350016
hsa-mir-6844,0.013440354892984787
hsa-mir-4515,0.013439318092490188
hsa-mir-548o-2,0.013434781422840722
hsa-mir-3617,0.013416660820365803
hsa-mir-3916,0.013400954906845525
hsa-mir-3194,0.01340090614720196
hsa-mir-6720,0.013399116147838891
hsa-mir-3651,0.01338885100422345
hsa-mir-4653,0.013383193124977849
hsa-mir-4442,0.013381603745919962
hsa-mir-552,0.013372698972695562
hsa-mir-4492,0.013371517612620438
hsa-mir-1226,0.01336919411941929
hsa-mir-4421,0.01336736106085052
hsa-mir-8072,0.013367127474799118
hsa-mir-4742,0.0133613652815485
hsa-mir-509-1,0.013359431683541445
hsa-mir-4780,0.01335383767876056
hsa-mir-3150a,0.01334650539159531
hsa-mir-6510,0.013346151536145918
hsa-mir-4735,0.01334297010132052
hsa-mir-4469,0.013336481249894554
hsa-mir-6762,0.013331049967003029
hsa-mir-4795,0.01332802248331768
hsa-mir-514a-1,0.013326712066830513
hsa-mir-6499,0.013320218894211812
hsa-mir-1914,0.013309674682665073
hsa-mir-6855,0.013308962912367347
hsa-mir-548ag-2,0.013306077839886547
hsa-mir-4640,0.013300490175549563
hsa-mir-372,0.013290425232771763
hsa-mir-4522,0.013288793670124492
hsa-mir-7110,0.013286223664112216
hsa-mir-4755,0.013280611842678734
hsa-mir-4762,0.013271939197788343
hsa-mir-3692,0.013263674410651887
hsa-mir-3622a,0.013261597545279946
hsa-mir-3161,0.013258661026091191
hsa-mir-6508,0.013252405220766688
